00 	- ABSOLUTELY NOTHING
84	- Write into (BL/B) from Z; ----END
85	- Write into (BL/B+X) from A; ----END
86	- Write into (BL/B+X) from Y; ----END
87	- Write into (BL/B+X) from Z; ----END
88	- Write into (BL/B+Y) from X; ----END
89	- Write into (SP - 1) from PCL
8A	- Write into (SP - 1) from PCL - 1
8B	- Write into (SP - 1) from TBL
8C	- Write into (SP - 1) from Y
8D	- Write into (SP - 2) from P
8E	- Write into (SP - 2) from X
8F	- Write into (SP - 3) from B
90	- Write into (SP - 4) from A
91	- Write into (SP) from A
92	- Write into (SP) from P
93	- Write into (SP) from PCH
94	- Write into (SP) from PCH - 1
95	- Write into (SP) from TBH
96	- Write into (SP) from X
97	- Write into (SP) from Y
98	- Write into (SP) from Z
99	- Write into (SP+Y) from A; ----END
9A	- Write into (TA + 1) from TBH; ----END (MLB)
9B	- Write into (TA) from A; ----END
9C	- Write into (TA) from TBL (MLB)
9D	- Write into (TA) from TBL; ----END (MLB)
9E	- Write into (TA) from X; ----END
9F	- Write into (TA) from Y; ----END
A0	- Write into (TA) from Z; ----END
A1	- Write into (TA+X) from A; ----END
A2	- Write into (TA+X) from TBL; ----END (MLB)
A3	- Write into (TA+X) from Y; ----END
A4	- Write into (TA+X) from Z; ----END
A5	- Write into (TA+Y) from A; ----END
A6	- Write into (TA+Y) from X; ----END
A7	- Write into (TA+Z) from A; ----END
A8	- Write into (SP - 2) from P (B Set)
A9	- Load into PC from (VECTOR + 1) and TBL; CLR_INT; END
AA	- Load into A from <ALU> given A and (PC+XY); END
AB	- Write into (PC+XY) from A; END
AC	- Load into A from ALU; ----SK0
AD	- Do an <ALU> Operation with A and (PC - 1)
AE	- Do an <ALU> Operation with A and (BL/B)
AF	- Do an <ALU> Operation with A and (BL/B+X)
B0	- Do an <ALU> Operation with A and (TA)
B1	- Do an <ALU> Operation with A and (TA+X)
B2	- Do an <ALU> Operation with A and (TA+Y)





